ra,dec,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,petroR90_r,Color,elliptical,spiral,uncertain,distancia_L,Mag_abs,type,type_n
118.18523896966002,33.6990891209559,19.95136,18.35397,17.540429999999997,17.05026,16.712220000000002,3.657189,-2.410933,0.0,0.0,1.0,153.89311095519844,-18.47310242431752,I,1
120.11071882451,42.0786527969539,19.7962,17.756079999999997,17.02625,16.653170000000003,16.40043,7.058877000000001,-2.769947,0.0,0.0,1.0,97.62661065017627,-17.9572242566379,I,1
122.677350749534,48.918773897392505,18.47516,17.39154,16.99343,16.77378,16.65345,7.496475,-1.4817280000000002,0.0,0.0,1.0,119.17283394117544,-18.38376427886244,I,1
122.1890218798,37.3303409120802,19.01056,17.81912,17.38598,17.091070000000002,16.96071,7.394811,-1.624582,0.0,0.0,1.0,126.40333246868892,-18.12501871744249,I,1
125.727646762698,4.3124713979869504,19.6241,17.804879999999997,17.0149,16.59137,16.4721,4.984677,-2.6092,0.0,0.0,1.0,85.83871361715411,-17.690294980337168,I,1
254.17738391665,19.6976292366892,19.42895,17.78255,17.12358,16.75121,16.4789,7.947685000000001,-2.305372,0.0,0.0,1.0,152.41116409667126,-18.839108765442152,I,1
206.199904207572,25.4555041763854,17.15307,16.34328,16.07546,15.88867,15.74999,12.17609,-1.0776059999999998,0.0,1.0,0.0,116.92570902385243,-19.241797631572005,S,2
24.422490424939895,1.02574783617124,18.98651,17.05614,16.19533,15.78131,15.44931,7.826744000000001,-2.791182,0.0,1.0,0.0,136.92940673704842,-19.562756604677045,S,2
31.1284459462694,-0.7940274352690341,18.22221,17.05348,16.65193,16.36962,16.1706,6.389549,-1.57028,0.0,1.0,0.0,130.3547576980207,-18.92128834096009,S,2
30.891666461776,-0.7925509626671179,18.98457,17.77497,17.20522,16.89423,16.72026,10.90434,-1.779343,0.0,1.0,0.0,123.99799749438957,-18.284834123564774,S,2
30.688596821276303,-1.09902484733239,18.05862,16.10004,15.20319,14.79447,14.43901,12.39552,-2.855429,0.0,0.0,1.0,132.41561616833678,-20.48500253197697,I,1
30.5328681888634,-1.01841518759365,19.3256,17.50167,16.67022,16.27531,15.992170000000002,7.421749,-2.655382,0.0,1.0,0.0,131.9021999622593,-18.9988061309387,S,2
31.816703599643503,0.573017633264969,17.58814,15.734420000000002,14.87071,14.44466,14.12789,11.09275,-2.7174270000000003,1.0,0.0,0.0,129.97449300598123,-20.77027692972253,E,3
351.221409823591,14.349905967735696,17.88724,16.843729999999997,16.41294,16.204620000000002,16.01527,7.660611,-1.474295,0.0,1.0,0.0,126.2225703016322,-19.094566587799104,S,2
117.584448318461,27.842953902480694,17.57734,15.88424,15.08314,14.71248,14.41319,13.68746,-2.494203,1.0,0.0,0.0,84.45437739875676,-19.587190410987333,E,3
119.16591994693898,44.101002342268,17.224520000000002,15.26604,14.35971,13.91619,13.53864,13.46981,-2.864812,0.0,0.0,1.0,142.1306132171299,-21.490356224957527,I,1
124.813532539042,45.2988231061914,18.56253,17.201729999999998,16.5014,16.03272,15.68914,5.370417,-2.061131,0.0,0.0,1.0,134.38269539884956,-19.18791547955557,I,1
124.695970279578,46.3873778741432,18.09272,16.231720000000003,15.318979999999998,14.89021,14.55185,7.556759,-2.773744,0.0,0.0,1.0,123.92802996141528,-20.222023038070542,I,1
117.5560675315,34.4227216788088,19.06713,17.17696,16.416339999999998,15.94498,15.68538,8.871634,-2.650799,0.0,0.0,1.0,91.04349922451284,-18.416073395106544,I,1
352.786262219686,0.346942651089242,19.30823,18.12061,17.69517,17.42449,17.55495,8.737874,-1.613054,0.0,0.0,1.0,129.5769215588109,-17.86879091740347,I,1
237.163815738714,25.277639588898897,20.44751,18.47776,17.67261,17.28664,16.966739999999998,3.36152,-2.7749,0.0,0.0,1.0,99.68955920586583,-17.36641193242788,I,1
237.189682647418,25.4382029880659,20.14327,18.7255,18.04912,17.72866,17.43154,7.106186999999999,-2.094152,0.0,1.0,0.0,99.29088316678678,-16.965218391349882,S,2
239.635754849794,24.856649789622697,19.02545,17.841520000000003,17.32303,17.00205,16.82718,5.42161,-1.702419,0.0,0.0,1.0,129.79052400545262,-18.259455177856623,I,1
121.100608596923,42.035909173805706,19.42279,18.29402,17.763370000000002,21.10635,17.26945,4.325316,-1.659418,0.0,0.0,1.0,155.3118105745978,-18.2167280536588,I,1
120.342456589727,42.0047496210089,19.84611,18.20444,17.42863,17.06953,16.79533,6.753646000000001,-2.41748,0.0,0.0,1.0,99.26036236490634,-17.597232307838105,I,1
123.820290890327,46.07524620479361,16.3106,15.07971,14.46114,14.06392,13.76392,15.4821,-1.8494580000000005,0.0,1.0,0.0,126.74763782414414,-21.08499050633413,S,2
118.110921021025,34.5321215214215,18.74363,17.85659,17.52519,17.30023,17.13973,5.034742,-1.218437,0.0,0.0,1.0,114.31162933425908,-17.75195924164557,I,1
127.014476025829,42.3407729777665,17.53866,16.53255,16.16275,15.91566,15.729779999999998,10.46525,-1.37591,0.0,1.0,0.0,111.11025992982478,-19.057998708991967,S,2
133.564884054218,6.0277877020480295,17.75948,16.774729999999998,16.54936,16.42085,16.34286,4.383868,-1.210121,0.0,0.0,1.0,136.73408522962023,-19.09934703699982,I,1
234.866524976287,25.736421442413,17.360429999999997,15.954679999999998,15.23021,14.7865,14.4393,11.0182,-2.130219,0.0,1.0,0.0,154.58586792129668,-20.776588143837557,S,2
117.98303777062,42.1770696084185,19.17295,17.78791,17.25667,16.96019,16.84518,12.4572,-1.916275,0.0,1.0,0.0,128.6860780353713,-18.30906567591211,S,2
123.578839594179,45.9253708281277,18.31047,17.22534,16.84224,16.58407,16.45786,7.516016,-1.468225,0.0,1.0,0.0,141.91192088615838,-18.913140323895256,S,2
128.22478398069902,42.1323457218161,18.04033,16.85976,16.470110000000002,16.2886,16.10545,8.877957,-1.570211,0.0,0.0,1.0,106.92599463275718,-18.66981761581108,I,1
127.299490913346,41.5220129510919,17.91064,16.78697,16.49707,16.335620000000002,16.30424,11.32774,-1.413574,0.0,1.0,0.0,93.14294252446332,-18.331336966907607,S,2
125.181929194369,4.0834259103543,18.43784,17.15932,16.60481,16.30206,16.18449,8.620799,-1.833021,0.0,0.0,1.0,88.84821109825857,-18.150729976313077,I,1
211.112808057667,44.0917899513366,19.09267,17.99648,17.65723,17.47566,17.53213,7.127843,-1.435446,0.0,0.0,1.0,109.97709172253994,-17.53712798335275,I,1
234.62748714331696,26.2008506365988,19.50949,18.18805,17.547829999999998,17.270770000000002,17.109189999999998,7.035036,-1.961666,0.0,0.0,1.0,106.89243520629388,-17.62480496181544,I,1
237.40142301379,24.6257621586357,18.11965,16.90304,16.46265,16.19838,16.00045,9.690456,-1.656994,0.0,1.0,0.0,142.90469259500946,-19.317901277523884,S,2
239.219448406875,24.6618285025955,17.9824,16.44631,15.73158,15.34479,15.05383,14.58603,-2.250818,0.0,1.0,0.0,75.41863502058754,-18.68038103444204,S,2
118.504209584845,12.5036693856615,19.6958,18.20069,17.58176,17.30197,16.94596,8.621314,-2.114042,0.0,1.0,0.0,137.50843569631655,-18.144941984773663,S,2
121.745509831237,15.6590640490644,18.79983,17.72184,17.35365,17.187170000000002,17.02117,7.463064,-1.44618,0.0,1.0,0.0,138.16687696697255,-18.34094311621663,S,2
31.0010406264042,-0.951931369373876,19.09758,18.04051,17.70194,17.48445,17.498160000000002,5.875379,-1.395639,0.0,0.0,1.0,128.3145449312596,-17.827046705338496,I,1
350.53849017776804,14.0997362131589,19.34834,17.60738,16.76428,16.36145,16.14025,4.968088,-2.584061,0.0,0.0,1.0,152.89748583755176,-19.24008093153085,I,1
117.66257908841,28.2305596783637,19.22868,18.05362,17.71395,17.46646,17.313589999999998,5.735999,-1.514725,0.0,0.0,1.0,144.1320992311293,-18.067729921919295,I,1
165.124992470157,28.198996503905803,19.37064,17.65883,16.909760000000002,16.53686,16.30165,7.580489999999999,-2.460878,0.0,0.0,1.0,105.60910154473493,-18.250479950803747,I,1
116.134052703553,41.236948195532605,19.93167,18.22928,17.48688,17.12257,16.87721,4.456205000000001,-2.44479,0.0,0.0,1.0,128.27223554187327,-18.10542471094074,I,1
121.995696942351,38.9096242818693,19.19926,17.99738,17.42318,17.070320000000002,16.82001,7.410746,-1.776085,0.0,1.0,0.0,120.6696014699692,-18.007569838137954,S,2
128.329542551021,42.5042938027433,18.5585,16.81897,16.08183,15.72027,15.44868,4.509213,-2.476673,0.0,0.0,1.0,126.54810220638124,-19.479439894428307,I,1
18.6001176018818,0.470008790047395,18.94561,17.2141,16.38352,15.99361,15.678870000000002,8.18336,-2.562088,0.0,0.0,1.0,145.66675312766486,-19.50904272552033,I,1
116.704043773107,41.473401914641,19.79389,18.20425,17.440929999999998,17.07951,16.818379999999998,4.820007,-2.352961,0.0,0.0,1.0,87.41927496442041,-17.301837879128435,I,1
120.855116643494,42.579761535044206,18.63136,17.3944,16.85136,16.54511,16.328889999999998,6.073691,-1.779997,0.0,0.0,1.0,98.75233395423128,-18.134489463274008,I,1
119.929904676686,42.19978035054029,17.8789,16.601760000000002,16.001360000000002,15.66454,15.42675,8.601414,-1.877544,0.0,1.0,0.0,136.67947454910484,-19.70878655867536,S,2
122.195045420414,38.32846098268271,19.3134,17.43619,16.62956,16.17907,15.90129,4.093954,-2.683844,0.0,0.0,1.0,97.79396070387754,-18.366925142372114,I,1
122.267390896307,38.716267871940005,19.199070000000003,18.02023,17.52215,17.269170000000003,17.149620000000002,7.045705,-1.67692,0.0,0.0,1.0,93.8423236341588,-17.346613625053166,I,1
125.802323067618,4.42139174422579,18.94467,17.31549,16.58248,16.22095,15.96259,6.16831,-2.362185,1.0,0.0,0.0,98.6061667967187,-18.42349899483359,E,3
120.940388167703,15.2540541283574,19.79424,18.12043,17.3098,16.93095,16.66999,4.315643,-2.484444,0.0,0.0,1.0,119.7889133529638,-18.13988300066953,I,1
117.641787651423,39.167893118826704,18.88813,17.499570000000002,16.97041,16.71848,16.56619,10.90505,-1.917727,0.0,0.0,1.0,102.66073104072348,-18.09879504610589,I,1
120.922826624167,41.9206561639582,17.90415,16.73753,16.10586,15.77656,15.50353,7.577239,-1.7982900000000002,0.0,1.0,0.0,95.8632939494092,-18.825539466864463,S,2
224.908620000906,31.217215563510603,18.27786,17.40531,17.10523,16.915470000000003,16.79254,6.6720820000000005,-1.172632,0.0,1.0,0.0,100.25291845350692,-17.88352075443882,S,2
231.32025150668,27.360031541133,19.40527,17.9195,17.30152,16.94463,16.64001,15.58787,-2.10375,0.0,0.0,1.0,98.65622977144167,-17.691457563453145,I,1
237.01871116560295,26.1932920575137,19.31493,18.15665,17.652810000000002,17.38194,17.221220000000002,5.777289,-1.6621279999999998,0.0,0.0,1.0,126.18201831422088,-17.865396922585003,I,1
18.8736786761253,0.331025112577243,19.60022,18.31242,17.70124,17.37415,17.16185,6.581952,-1.898977,0.0,0.0,1.0,132.61059475769778,-17.94379859326093,I,1
20.2073961309165,-0.475180169635247,17.5071,16.41495,15.99117,15.71103,15.49639,7.115271000000001,-1.51594,0.0,1.0,0.0,151.35453712100556,-19.912126139581652,S,2
18.6827575975227,0.286029828924826,17.59094,16.13561,15.4096,15.01481,14.70497,11.87468,-2.181341,0.0,1.0,0.0,139.92553019907947,-20.37431934839893,S,2
30.564477779653203,-0.985225532934458,18.79751,16.91488,16.09317,15.69638,15.38948,5.349067,-2.704346,0.0,0.0,1.0,137.17672013921387,-19.662493884994987,I,1
30.4747102451826,0.72121721721222,18.40022,16.8493,16.06332,15.65347,15.347029999999998,5.336398,-2.336901,0.0,0.0,1.0,135.61799065100357,-19.660710159629197,I,1
346.576035683277,13.9212025936101,20.00013,18.7329,18.14683,17.761670000000002,17.5032,4.964421,-1.8533,0.0,0.0,1.0,109.69605283988228,-17.07556847579414,I,1
350.838813438287,14.284543228589,17.75804,15.80662,14.90562,14.44189,14.08224,13.86695,-2.852414,0.0,0.0,1.0,134.33596345980078,-20.81579157492883,I,1
120.588897032588,32.5960392047738,18.86791,17.56311,16.962770000000003,16.646720000000002,16.461579999999998,8.187081,-1.905144,0.0,0.0,1.0,121.1806589463908,-18.48124820131286,I,1
215.131681156414,8.984608967866519,19.15705,17.50064,16.75601,16.38172,16.09969,4.488045,-2.401039,0.0,0.0,1.0,88.10305938510295,-18.001978133741343,I,1
247.420223198369,16.0822050407605,17.94586,16.13654,15.30938,14.898979999999998,14.56781,7.896348,-2.636482,0.0,0.0,1.0,103.46640344955252,-19.815208034550352,I,1
118.370280580694,39.2997222921801,18.82325,17.174789999999998,16.47095,16.120520000000003,15.85079,6.593894000000001,-2.352301,0.0,0.0,1.0,131.89674772523912,-19.1773214489298,I,1
122.34885942757,45.489284959739294,17.1629,15.36541,14.512620000000002,14.06771,13.706779999999998,15.58022,-2.650288,0.0,1.0,0.0,146.1519302422598,-21.39138302826137,S,2
123.665126323309,45.657842806868,18.29316,16.70925,15.91796,15.50971,15.18754,8.825713,-2.375205,0.0,1.0,0.0,123.20832659870884,-19.59185221073549,S,2
118.897358640177,33.9721355271448,19.06542,17.73742,17.16607,16.81919,16.53142,7.954242999999999,-1.899345,0.0,1.0,0.0,143.18352239083495,-18.64189033525948,S,2
121.465393697791,37.631108501435,19.36633,18.25854,17.89837,17.74361,17.73781,4.941692,-1.467964,0.0,0.0,1.0,66.8379220804126,-16.218190804367747,I,1
122.140725947852,38.914836550835794,18.62791,17.17759,16.45055,16.06239,15.76847,2.240141,-2.177357,0.0,0.0,1.0,125.11115121409031,-19.08368076272492,I,1
125.459826057369,41.8766291101785,17.29164,16.1073,15.4662,15.063070000000002,14.70431,8.663567,-1.825437,0.0,1.0,0.0,116.66431603390444,-19.899908714340985,S,2
125.927196605958,42.1344390059164,18.81821,16.943260000000002,15.98943,15.46381,14.9934,11.68521,-2.828787,0.0,1.0,0.0,115.4199222785352,-19.396871892136836,S,2
126.073285758052,4.26815609720507,18.65,17.01233,16.264960000000002,15.91589,15.67255,6.490333000000001,-2.38504,0.0,0.0,1.0,89.45580312279517,-18.527034864212936,I,1
123.437112407745,16.9929087903669,18.49469,17.206879999999998,16.69367,16.42707,16.44484,9.522129,-1.801022,0.0,0.0,1.0,140.72005554832683,-19.065781108295617,I,1
19.7441353483028,-0.435113092701232,17.98077,16.964010000000002,16.51605,16.21013,16.05066,6.834149000000001,-1.46472,0.0,0.0,1.0,147.1073669953451,-19.329328643165976,I,1
31.5763671513481,1.01793052686961,18.07827,16.92013,16.43517,16.16018,16.01139,8.852938,-1.643101,0.0,1.0,0.0,133.75357970328577,-19.207908638152603,S,2
339.082781554557,14.3145291064565,18.68788,16.93184,16.06409,15.63998,15.293820000000002,9.257149,-2.623785,1.0,0.0,0.0,115.55519635635235,-19.31307002722024,E,3
117.075978840772,28.036436438561395,16.88092,15.35948,14.70573,14.37738,14.094170000000002,13.779379999999998,-2.175186,0.0,1.0,0.0,83.2348629636589,-19.91723470897109,S,2
121.016035518367,15.088474992138,19.27925,17.5167,16.593870000000003,16.1126,15.72781,7.776942999999999,-2.685377,0.0,1.0,0.0,120.24060069774276,-18.880444293936826,S,2
18.8862986244048,0.0726261656384409,20.03992,18.20308,17.43734,17.057879999999997,16.75927,5.004549,-2.602583,0.0,0.0,1.0,145.0736310615028,-18.43452153730947,I,1
32.1782609690347,-0.768738870848387,19.1612,17.729860000000002,17.21219,16.90553,16.78357,8.166008999999999,-1.949007,0.0,1.0,0.0,133.7853938452712,-18.43682980045656,S,2
32.0746749276362,1.1007330520314198,17.612070000000003,16.12614,15.39779,14.99426,14.6984,11.27296,-2.214275,0.0,0.0,1.0,130.12821373189132,-20.22434525882956,I,1
351.17929937216906,13.3765210611269,19.3227,17.4044,16.5224,16.08393,15.73253,6.040068,-2.800304,0.0,0.0,1.0,142.59050392459028,-19.3308461708733,I,1
351.09663553690103,14.4496767070227,19.30859,18.06059,17.457420000000003,17.092760000000002,16.87913,5.835518,-1.851166,0.0,0.0,1.0,110.318228687523,-17.779792196037093,I,1
116.919112281854,28.0858502918436,18.66954,17.67897,17.46622,17.355539999999998,17.38206,7.108519,-1.203316,0.0,0.0,1.0,82.1256032824757,-17.082288561051474,I,1
120.229776724531,41.5807742509467,19.66256,18.37663,17.6022,17.21765,16.89979,3.876801,-2.060364,0.0,0.0,1.0,95.114016905968,-17.328758998431688,I,1
123.021143876128,44.31004283061149,18.43473,16.96738,16.22255,15.80343,15.45642,4.643021,-2.212183,0.0,0.0,1.0,152.24330833450318,-19.75382429518024,I,1
123.78216501763,46.3512660024623,19.31097,18.05434,17.53041,17.17529,17.03214,5.026498999999999,-1.78056,0.0,0.0,1.0,151.9951078713369,-18.4007843228685,I,1
